                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.5128,                 4.2362,                  3.402,                 2.4143,                0.39302,                0.04227,                0.03453,                0.01346,                 0.4234,                0.02344,                0.02104,                0.00407,                 2.5587,                 4.0513,                 3.3914,                 2.5435,             0.00096537,             0.00096537,             0.00096537
                     25,                 2.5021,                 4.2171,                 3.4023,                 2.3829,                0.56145,                0.02982,                0.03411,                0.01417,                0.56041,                0.02762,                0.01574,                0.00384,                 2.5467,                  3.957,                 3.3075,                  2.527,               0.000953,               0.000953,               0.000953
                     26,                 2.5097,                 4.2112,                 3.3948,                 2.3731,                0.42668,                0.06584,                 0.0265,                0.01086,                0.28931,                0.04191,                0.01079,                 0.0021,                 2.5438,                 4.0482,                 3.3979,                 2.4796,             0.00094062,             0.00094062,             0.00094062
                     27,                 2.4667,                  4.164,                 3.3526,                 2.3543,                0.32743,                  0.054,                0.03245,                0.01345,                0.34859,                0.04449,                0.02706,                0.00697,                 2.5183,                 4.0095,                  3.454,                 2.5221,             0.00092825,             0.00092825,             0.00092825
                     28,                  2.445,                 4.1553,                 3.3172,                  2.328,                0.35755,                0.05661,                0.03809,                0.01396,                0.36573,                0.05075,                0.03053,                0.00814,                 2.5418,                 3.9587,                 3.3961,                 2.5083,             0.00091588,             0.00091588,             0.00091588
                     29,                 2.4335,                 4.1247,                 3.3031,                 2.3401,                0.40876,                0.07072,                0.05018,                0.01838,                0.40337,                  0.054,                0.03082,                0.00845,                 2.5102,                 3.9461,                 3.2441,                 2.4582,              0.0009035,              0.0009035,              0.0009035
                     30,                 2.4251,                 4.1182,                 3.2358,                 2.2892,                0.36259,                 0.0602,                0.04914,                0.01993,                 0.3166,                 0.0356,                0.02194,                0.00563,                 2.4922,                 3.9712,                 3.2202,                 2.4806,             0.00089112,             0.00089112,             0.00089112
                     31,                 2.4327,                 4.0846,                 3.2495,                 2.3045,                0.45516,                0.06232,                0.05857,                0.02291,                0.38068,                0.03633,                0.02838,                  0.007,                 2.4795,                 3.9064,                 3.2051,                 2.4432,             0.00087875,             0.00087875,             0.00087875
                     32,                 2.4216,                 4.0838,                 3.2604,                 2.3011,                0.24158,                0.09032,                0.06245,                0.02843,                 0.2421,                0.06579,                0.04683,                0.01249,                 2.4176,                 3.8976,                 3.1629,                 2.4143,             0.00086637,             0.00086637,             0.00086637
                     33,                 2.3945,                 4.0601,                 3.2102,                 2.2808,                0.36606,                0.08114,                0.05858,                 0.0234,                0.35783,                0.06261,                 0.0392,                0.01067,                 2.4398,                 3.8148,                 3.1274,                 2.3897,               0.000854,               0.000854,               0.000854
                     34,                 2.3632,                 4.1098,                 3.2231,                 2.2769,                0.43959,                0.10168,                0.07636,                0.03543,                0.42285,                0.07803,                0.04519,                0.01046,                 2.3834,                 3.8187,                 3.1868,                 2.3845,             0.00084162,             0.00084162,             0.00084162
                     35,                 2.3654,                 4.0535,                 3.1865,                  2.265,                0.37444,                0.10581,                0.06449,                 0.0315,                0.35124,                0.08035,                0.05132,                0.01598,                 2.3837,                 3.8126,                 3.1109,                 2.3493,             0.00082925,             0.00082925,             0.00082925
                     36,                  2.305,                 3.9585,                 3.0851,                 2.2152,                 0.4136,                0.08463,                0.08257,                0.03843,                0.35799,                0.05525,                0.04538,                0.01433,                 2.3694,                 3.7982,                 3.0885,                 2.3633,             0.00081688,             0.00081688,             0.00081688
                     37,                 2.3068,                 3.9948,                 3.1261,                 2.2207,                0.20257,                0.10188,                0.07779,                 0.0387,                0.17929,                 0.0732,                0.06027,                0.01715,                 2.3371,                 3.8141,                  3.125,                   2.37,              0.0008045,              0.0008045,              0.0008045
                     38,                 2.2932,                 3.9607,                 3.0732,                 2.1961,                0.26795,                0.09021,                0.05805,                 0.0254,                0.26374,                0.06397,                0.04148,                0.00986,                 2.3676,                 3.8375,                 3.1726,                 2.3553,             0.00079213,             0.00079213,             0.00079213
                     39,                 2.2951,                 3.9715,                 3.0743,                 2.1975,                0.26588,                0.10751,                0.08134,                  0.039,                0.25201,                0.08498,                0.05215,                0.01559,                 2.3334,                 3.6776,                 2.9684,                 2.3041,             0.00077975,             0.00077975,             0.00077975
                     40,                  2.267,                 3.9863,                 3.0726,                 2.2041,                0.44474,                0.10407,                0.10659,                 0.0513,                0.42022,                0.09111,                0.08322,                0.02346,                 2.2776,                 3.7346,                 2.9337,                 2.2793,             0.00076738,             0.00076738,             0.00076738
                     41,                 2.2494,                 3.9287,                 3.0538,                 2.1911,                0.39625,                0.10048,                0.09818,                0.04764,                0.32222,                0.07989,                0.07209,                0.02192,                 2.2957,                 3.6465,                   2.87,                 2.2973,               0.000755,               0.000755,               0.000755
                     42,                 2.2742,                 3.9395,                 3.0619,                 2.1989,                0.38358,                0.11892,                0.10125,                0.04636,                0.35807,                0.10188,                0.07436,                0.02061,                 2.2882,                  3.764,                 3.0365,                 2.2825,             0.00074263,             0.00074263,             0.00074263
                     43,                 2.2294,                 3.9417,                  2.997,                 2.1589,                0.29089,                0.11078,                0.09894,                0.04858,                0.33068,                0.09093,                0.07623,                0.02417,                 2.2675,                 3.6928,                 2.9261,                  2.261,             0.00073025,             0.00073025,             0.00073025
                     44,                 2.2226,                 3.8948,                  2.982,                 2.1349,                0.41031,                0.11949,                0.11212,                0.05547,                0.36305,                0.09286,                 0.0779,                  0.024,                  2.215,                 3.6594,                 2.8715,                 2.2416,             0.00071788,             0.00071788,             0.00071788
                     45,                  2.221,                 3.8679,                 2.9344,                 2.1363,                0.28958,                0.12142,                0.11864,                0.06451,                0.32133,                0.11339,                0.10531,                0.03262,                 2.2466,                 3.6128,                 2.8695,                 2.2354,              0.0007055,              0.0007055,              0.0007055
                     46,                 2.1967,                 3.8531,                 2.9554,                 2.1407,                0.38878,                0.12305,                0.12432,                0.05959,                0.36568,                0.10702,                0.09253,                0.02834,                 2.1828,                 3.5652,                 2.8556,                 2.2308,             0.00069313,             0.00069313,             0.00069313
                     47,                 2.1931,                 3.8436,                  2.917,                 2.1103,                0.26587,                0.14099,                0.11563,                0.05722,                0.26116,                0.12006,                0.09021,                0.02566,                 2.1877,                 3.5638,                 2.9354,                 2.1844,             0.00068075,             0.00068075,             0.00068075
                     48,                 2.1761,                   3.84,                 2.9038,                 2.1149,                0.30556,                0.14596,                0.12387,                0.06322,                0.27297,                0.12437,                0.09827,                0.03726,                 2.1691,                 3.5375,                 2.8071,                 2.1533,             0.00066838,             0.00066838,             0.00066838
                     49,                 2.2005,                 3.8003,                 2.8905,                 2.1074,                0.30466,                0.13938,                0.13729,                0.06508,                0.31195,                0.11174,                0.10666,                0.03161,                 2.1424,                 3.5447,                 2.7659,                 2.1827,               0.000656,               0.000656,               0.000656
                     50,                 2.1764,                  3.828,                 2.8634,                 2.0893,                0.36985,                0.13882,                0.12646,                0.05899,                  0.354,                0.12423,                0.10455,                 0.0364,                 2.1727,                 3.5452,                 2.8042,                 2.1714,             0.00064362,             0.00064362,             0.00064362
                     51,                 2.1481,                 3.7841,                 2.8195,                 2.0677,                0.30058,                0.15839,                0.13174,                0.06905,                0.35629,                0.12111,                 0.1086,                0.03831,                 2.1309,                  3.516,                 2.7868,                 2.1415,             0.00063125,             0.00063125,             0.00063125
                     52,                 2.1035,                 3.7801,                  2.761,                 2.0419,                0.39859,                 0.1732,                0.15159,                0.08042,                0.40135,                0.16053,                0.13163,                0.04356,                 2.1182,                  3.467,                 2.7131,                 2.1163,             0.00061887,             0.00061887,             0.00061887
                     53,                 2.1181,                 3.7657,                 2.7934,                 2.0434,                0.40709,                0.12687,                0.11925,                0.06417,                0.37774,                0.11287,                0.09974,                 0.0346,                 2.1254,                 3.5156,                 2.9255,                 2.1522,              0.0006065,              0.0006065,              0.0006065
